Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration96   1140   42   42   200   53%  1105   16% 
   2 Iteration98   1139   96   95    40   54%  1140   13% 
   3 Iteration100  1122  100   99    40   51%  1140    3% 
   4 Iteration99   1111   96   96    40   50%  1140   10% 
   5 Iteration95   1080  101   99    40   54%  1078    3% 
   6 Iteration89   1078   33   33   320   57%  1010   21% 
   7 Iteration97   1075   83   84    40   44%  1140   48% 
   8 Iteration88   1044   66   65    80   57%  1003   26% 
   9 Iteration94   1032   92   93    40   48%  1078   20% 
  10 Iteration90    990   84   86    40   40%  1078   45% 
  11 Iteration93    957   89   94    40   36%  1078   28% 
  12 Iteration91    930   90   97    40   33%  1078   25% 
  13 Iteration85    929   87   85    40   55%   927   40% 
  14 Iteration82    927   33   33   280   53%   885   38% 
  15 Iteration92    906   93  101    40   30%  1078   20% 
  16 Iteration81    900   66   65    80   57%   847   26% 
  17 Iteration84    898   87   87    40   50%   927   35% 
  18 Iteration83    877   82   83    40   46%   927   53% 
  19 Iteration86    780   84   90    40   30%   927   45% 
  20 Iteration87    767   91   99    40   31%   927   23% 
  21 Iteration80    767   66   67    80   46%   798   25% 
  22 Iteration70    699   45   44   160   54%   654   31% 
  23 Iteration73    697   31   31   320   54%   648   33% 
  24 Iteration76    691   87   86    40   54%   697   38% 
  25 Iteration71    654   88   89    40   48%   699   30% 
  26 Iteration77    649   94   95    40   48%   697   15% 
  27 Iteration69    646   64   63    80   53%   631   33% 
  28 Iteration79    634   90   92    40   45%   697   25% 
  29 Iteration72    621   96   99    40   44%   699    8% 
  30 Iteration78    607   85   88    40   40%   697   40% 
  31 Iteration75    600   90   93    40   40%   697   25% 
  32 Iteration68    564   68   67    80   54%   520   26% 
  33 Iteration74    535   87   93    40   29%   697   38% 
  34 Iteration63    395   36   37   240   49%   385   32% 
  35 Iteration66    375   90   90    40   51%   395   28% 
  36 Iteration62    372   93   92    40   55%   366   20% 
  37 Iteration58    368   61   60    80   56%   329   44% 
  38 Iteration59    366   40   40   200   50%   349   30% 
  39 Iteration67    359   81   81    40   49%   395   58% 
  40 Iteration64    331   92   93    40   45%   395   20% 
  41 Iteration61    318   96   97    40   48%   366   10% 
  42 Iteration65    314   84   87    40   41%   395   43% 
  43 Iteration56    292   54   54   120   53%   237   30% 
  44 Iteration60    290   87   89    40   43%   366   35% 
  45 Iteration57    283   82   82    40   54%   292   53% 
  46 Iteration53     61   49   49   160   48%    72   16% 
  47 Iteration55     59   94   93    40   54%    61   18% 
  48 Iteration52     -3   64   64    80   51%     2   29% 
  49 Iteration49    -57   42   42   160   53%   -82   51% 
  50 Iteration54    -60   89   93    40   36%    61   28% 
  51 Iteration51    -78   85   85    40   51%   -57   43% 
  52 Iteration47    -91   47   47   120   48%   -92   58% 
  53 Iteration48   -105   86   85    40   53%   -91   40% 
  54 Iteration46   -113   57   57    80   49%  -108   60% 
  55 Iteration45   -125   63   62    80   58%  -186   38% 
  56 Iteration50   -157   82   85    40   38%   -57   50% 
  57 Iteration43   -259   47   48   120   45%  -225   56% 
  58 Iteration41   -262   48   48   120   51%  -280   52% 
  59 Iteration42   -284   81   81    40   51%  -262   58% 
  60 Iteration44   -288   75   75    40   50%  -259   85% 
  61 Iteration37   -296   38   38   200   52%  -327   43% 
  62 Iteration39   -318   84   83    40   51%  -296   48% 
  63 Iteration38   -325   91   91    40   50%  -296   25% 
  64 Iteration40   -345   78   79    40   46%  -296   68% 
  65 Iteration36   -385   67   67    80   51%  -405   24% 
  66 Iteration35   -498   95   93    40   56%  -514   18% 
  67 Iteration29   -514   32   32   320   53%  -557   27% 
  68 Iteration31   -520   89   88    40   54%  -514   33% 
  69 Iteration33   -558   84   85    40   48%  -514   45% 
  70 Iteration23   -572   34   34   280   53%  -613   32% 
  71 Iteration26   -601   92   92    40   50%  -572   20% 
  72 Iteration24   -601   82   82    40   50%  -572   55% 
  73 Iteration34   -607   87   89    40   40%  -514   35% 
  74 Iteration20   -607   44   43   160   53%  -640   38% 
  75 Iteration25   -610   95   96    40   49%  -572   13% 
  76 Iteration32   -613   86   89    40   39%  -514   38% 
  77 Iteration18   -627   53   52   120   58%  -688   28% 
  78 Iteration28   -669   90   93    40   40%  -572   25% 
  79 Iteration14   -671   40   40   200   54%  -714   33% 
  80 Iteration11   -677   41   41   160   53%  -704   51% 
  81 Iteration22   -677   89   91    40   44%  -607   28% 
  82 Iteration21   -683   80   82    40   41%  -607   58% 
  83 Iteration27   -687   82   86    40   35%  -572   50% 
  84 Iteration13   -698   88   88    40   51%  -677   33% 
  85 Iteration30   -699   97  107    40   30%  -514   10% 
  86 Iteration10   -699   61   60    80   56%  -746   46% 
  87 Iteration16   -700   98   99    40   50%  -671    5% 
  88 Iteration12   -747   81   83    40   43%  -677   55% 
  89 Iteration17   -765   83   86    40   39%  -671   48% 
  90 Iteration19   -786   91   98    40   31%  -627   23% 
  91 Iteration15   -802   90   95    40   35%  -671   25% 
  92 Iteration8    -815   55   55   120   52%  -844   24% 
  93 Iteration9    -818   92   91    40   54%  -815   23% 
  94 Iteration6   -1014   56   57   120   47% -1005   21% 
  95 Iteration7   -1018   92   91    40   54% -1014   23% 
  96 Iteration5   -1182   70   70    80   48% -1159   20% 
  97 Iteration4   -1303   99   74    40   54% -1304    8% 
  98 Iteration2   -1304   49   48   160   54% -1351   16% 
  99 Iteration1   -1415  125  -27    40   58% -1445    5% 
 100 Iteration0   -1445  105  -57    80   35% -1359   10% 
 101 Iteration3   -1475  148  -86    40   30% -1304   20% 
