Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration96   1111   46   45   200   55%  1051    0% 
   2 Iteration100  1082  101  101    40   50%  1111    0% 
   3 Iteration98   1082  101  101    40   50%  1111    0% 
   4 Iteration95   1043  104  100    40   58%  1009    0% 
   5 Iteration99   1041  100  102    40   45%  1111    0% 
   6 Iteration97   1041  100  102    40   45%  1111    0% 
   7 Iteration92   1009   45   46   200   47%  1018    0% 
   8 Iteration94   1002  102  100    40   53%  1009    0% 
   9 Iteration93    981  101  101    40   50%  1009    0% 
  10 Iteration91    953   73   73    80   51%   943    0% 
  11 Iteration90    876   73   73    80   49%   886    0% 
  12 Iteration89    854  104  100    40   58%   819    0% 
  13 Iteration86    819   45   45   200   50%   806    0% 
  14 Iteration87    812  102  100    40   53%   819    0% 
  15 Iteration81    762   42   41   240   54%   708    0% 
  16 Iteration78    739  104  100    40   58%   705    0% 
  17 Iteration88    728  100  104    40   43%   819    0% 
  18 Iteration77    705   46   46   200   54%   658    0% 
  19 Iteration84    692  100  103    40   45%   762    0% 
  20 Iteration82    692  100  103    40   45%   762    0% 
  21 Iteration83    670  100  104    40   43%   762    0% 
  22 Iteration85    670  100  104    40   43%   762    0% 
  23 Iteration74    616  103  100    40   55%   603    0% 
  24 Iteration80    613  100  104    40   43%   705    0% 
  25 Iteration72    603   42   42   240   52%   566    0% 
  26 Iteration73    574  101  101    40   50%   603    0% 
  27 Iteration79    571  100  107    40   38%   705    0% 
  28 Iteration71    535  104  100    40   58%   501    0% 
  29 Iteration75    532  100  103    40   45%   603    0% 
  30 Iteration70    514  103  100    40   55%   501    0% 
  31 Iteration66    514  103  100    40   55%   501    0% 
  32 Iteration64    501   34   34   360   50%   476    0% 
  33 Iteration69    472  101  101    40   50%   501    0% 
  34 Iteration68    472  101  101    40   50%   501    0% 
  35 Iteration76    469  100  107    40   38%   603    0% 
  36 Iteration65    451  101  102    40   48%   501    0% 
  37 Iteration63    389  103  100    40   55%   376    0% 
  38 Iteration59    389  103  100    40   55%   376    0% 
  39 Iteration58    376   39   39   280   51%   344    0% 
  40 Iteration67    345  100  109    40   35%   501    0% 
  41 Iteration57    319   73   73    80   51%   308    0% 
  42 Iteration60    305  100  103    40   45%   376    0% 
  43 Iteration61    284  100  104    40   43%   376    0% 
  44 Iteration56    275  104  100    40   58%   241    0% 
  45 Iteration52    241   42   42   240   51%   211    0% 
  46 Iteration55    233  102  100    40   53%   241    0% 
  47 Iteration62    220  100  109    40   35%   376    0% 
  48 Iteration54    192  100  102    40   48%   241    0% 
  49 Iteration51    153  102  100    40   55%   140    0% 
  50 Iteration50    140   60   60   120   48%   145    0% 
  51 Iteration53    107  100  107    40   38%   241    0% 
  52 Iteration46     39   46   46   200   52%     6    0% 
  53 Iteration47     32  102  100    40   53%    39    0% 
  54 Iteration44    -17   60   59   120   54%   -62    0% 
  55 Iteration49    -31  100  102    40   45%    39    0% 
  56 Iteration48    -94  100  107    40   38%    39    0% 
  57 Iteration45   -108   99  103    40   43%   -17    0% 
  58 Iteration41   -118   52   51   160   56%  -185    0% 
  59 Iteration38   -219   52   51   160   54%  -269    0% 
  60 Iteration43   -230  100  105    40   40%  -118    0% 
  61 Iteration35   -262  102  100    40   55%  -276    0% 
  62 Iteration42   -273  100  108    40   35%  -118    0% 
  63 Iteration34   -276   46   46   200   52%  -310    0% 
  64 Iteration39   -310  100  103    40   43%  -219    0% 
  65 Iteration37   -325  100  102    40   48%  -276    0% 
  66 Iteration36   -367  100  104    40   43%  -276    0% 
  67 Iteration40   -374  100  108    40   35%  -219    0% 
  68 Iteration31   -377   52   52   160   52%  -410    0% 
  69 Iteration32   -385  101  100    40   53%  -377    0% 
  70 Iteration33   -405  101  101    40   50%  -377    0% 
  71 Iteration28   -560  103  100    40   55%  -573    0% 
  72 Iteration25   -560  103  100    40   55%  -573    0% 
  73 Iteration23   -573   34   34   360   50%  -592    0% 
  74 Iteration27   -581  102  101    40   53%  -573    0% 
  75 Iteration30   -602  101  101    40   50%  -573    0% 
  76 Iteration21   -619  104  100    40   58%  -653    0% 
  77 Iteration26   -644  100  103    40   45%  -573    0% 
  78 Iteration14   -653   33   33   400   60%  -762    0% 
  79 Iteration29   -665  100  104    40   43%  -573    0% 
  80 Iteration24   -686  100  105    40   40%  -573    0% 
  81 Iteration18   -703  101  102    40   48%  -653    0% 
  82 Iteration16   -788  100  107    40   38%  -653    0% 
  83 Iteration11   -801   52   52   160   51%  -824    0% 
  84 Iteration20   -809  100  109    40   35%  -653    0% 
  85 Iteration17   -809  100  109    40   35%  -653    0% 
  86 Iteration19   -831  101  111    40   33%  -653    0% 
  87 Iteration15   -831  101  111    40   33%  -653    0% 
  88 Iteration22   -854  102  114    40   30%  -653    0% 
  89 Iteration13   -872  100  102    40   45%  -801    0% 
  90 Iteration10   -879   73   73    80   50%  -879    0% 
  91 Iteration12   -893  100  103    40   43%  -801    0% 
  92 Iteration9    -956   72   73    80   49%  -946    0% 
  93 Iteration8   -1012   75   74    80   55% -1057    0% 
  94 Iteration3   -1124  104  100    40   58% -1158    0% 
  95 Iteration7   -1145  103  100    40   55% -1158    0% 
  96 Iteration5   -1145  103  100    40   55% -1158    0% 
  97 Iteration4   -1145  103  100    40   55% -1158    0% 
  98 Iteration0   -1158   36   36   320   48% -1168    0% 
  99 Iteration6   -1229  100  102    40   45% -1158    0% 
 100 Iteration2   -1229  100  102    40   45% -1158    0% 
 101 Iteration1   -1314  102   67    40   35% -1158    0% 
