Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration100  1696 -307  340    40   63%  1620    0% 
   2 Iteration96   1620 -231  241   200   56%  1552    0% 
   3 Iteration95   1564 -174  204    80   58%  1495    0% 
   4 Iteration98   1529 -140  201    40   43%  1620    0% 
   5 Iteration99   1486  -98  173    40   38%  1620    0% 
   6 Iteration97   1486  -98  173    40   38%  1620    0% 
   7 Iteration93   1384    2  113    40   55%  1371    0% 
   8 Iteration92   1371   16   56   160   51%  1353    0% 
   9 Iteration91   1315   62   73    80   50%  1315    0% 
  10 Iteration85   1258   39   39   280   59%  1158    0% 
  11 Iteration86   1187  100  103    40   45%  1258    0% 
  12 Iteration90   1166  100  104    40   43%  1258    0% 
  13 Iteration94   1149  103  117    40   28%  1371    0% 
  14 Iteration87   1124  100  107    40   38%  1258    0% 
  15 Iteration89   1124  100  107    40   38%  1258    0% 
  16 Iteration84   1121  103  100    40   58%  1087    0% 
  17 Iteration83   1121  103  100    40   58%  1087    0% 
  18 Iteration88   1102  100  109    40   35%  1258    0% 
  19 Iteration82   1087   53   53   160   46%  1104    0% 
  20 Iteration80    929  102  100    40   55%   916    0% 
  21 Iteration79    916   52   52   160   49%   908    0% 
  22 Iteration81    825  100  103    40   43%   916    0% 
  23 Iteration76    792   52   51   160   53%   758    0% 
  24 Iteration77    743  100  101    40   48%   792    0% 
  25 Iteration67    735   33   33   400   57%   652    0% 
  26 Iteration75    706  101  101    40   50%   735    0% 
  27 Iteration68    706  101  101    40   50%   735    0% 
  28 Iteration69    706  101  101    40   50%   735    0% 
  29 Iteration74    706  101  101    40   50%   735    0% 
  30 Iteration73    706  101  101    40   50%   735    0% 
  31 Iteration72    664  100  103    40   45%   735    0% 
  32 Iteration78    637  100  108    40   35%   792    0% 
  33 Iteration71    557  101  111    40   33%   735    0% 
  34 Iteration66    552  102  100    40   55%   538    0% 
  35 Iteration64    538   55   54   160   55%   481    0% 
  36 Iteration70    438  109  133    40   20%   735    0% 
  37 Iteration63    370   75   76    80   46%   405    0% 
  38 Iteration62    272   74   74    80   51%   261    0% 
  39 Iteration65    269  106  126    40   23%   538    0% 
  40 Iteration61    151   74   74    80   48%   172    0% 
  41 Iteration52     73   32   32   400   55%     7    0% 
  42 Iteration58     65  102  101    40   53%    73    0% 
  43 Iteration60     44  101  101    40   50%    73    0% 
  44 Iteration56     44  101  101    40   50%    73    0% 
  45 Iteration55     44  101  101    40   50%    73    0% 
  46 Iteration53      2  100  103    40   45%    73    0% 
  47 Iteration54    -19  100  104    40   43%    73    0% 
  48 Iteration51    -41  103  100    40   58%   -75    0% 
  49 Iteration49    -75   52   52   160   48%   -67    0% 
  50 Iteration59    -83  100  109    40   35%    73    0% 
  51 Iteration57   -105  101  111    40   33%    73    0% 
  52 Iteration50   -145  100  102    40   45%   -75    0% 
  53 Iteration42   -154   37   36   320   58%  -245    0% 
  54 Iteration44   -183  101  101    40   50%  -154    0% 
  55 Iteration45   -204  100  102    40   48%  -154    0% 
  56 Iteration39   -233   51   51   160   51%  -258    0% 
  57 Iteration40   -262  101  101    40   50%  -233    0% 
  58 Iteration35   -278  104  100    40   58%  -312    0% 
  59 Iteration41   -304  100  102    40   45%  -233    0% 
  60 Iteration48   -310  100  109    40   35%  -154    0% 
  61 Iteration47   -310  100  109    40   35%  -154    0% 
  62 Iteration43   -310  100  109    40   35%  -154    0% 
  63 Iteration34   -312   42   42   240   51%  -342    0% 
  64 Iteration37   -320  102  100    40   53%  -312    0% 
  65 Iteration46   -332  101  111    40   33%  -154    0% 
  66 Iteration36   -341  101  101    40   50%  -312    0% 
  67 Iteration30   -392   46   46   200   53%  -434    0% 
  68 Iteration32   -441  100  102    40   48%  -392    0% 
  69 Iteration31   -462  100  102    40   45%  -392    0% 
  70 Iteration22   -471   35   34   360   58%  -558    0% 
  71 Iteration29   -479  102  100    40   53%  -471    0% 
  72 Iteration23   -479  102  100    40   53%  -471    0% 
  73 Iteration33   -483  100  104    40   43%  -392    0% 
  74 Iteration38   -490  101  111    40   33%  -312    0% 
  75 Iteration27   -521  101  102    40   48%  -471    0% 
  76 Iteration24   -584  100  105    40   40%  -471    0% 
  77 Iteration20   -586  104  100    40   58%  -620    0% 
  78 Iteration26   -606  100  107    40   38%  -471    0% 
  79 Iteration21   -607  102  100    40   55%  -620    0% 
  80 Iteration18   -620   46   46   200   47%  -611    0% 
  81 Iteration25   -649  101  111    40   33%  -471    0% 
  82 Iteration19   -669  100  102    40   48%  -620    0% 
  83 Iteration28   -695  103  118    40   28%  -471    0% 
  84 Iteration16   -721   61   61   120   54%  -768    0% 
  85 Iteration17   -770  100  101    40   48%  -721    0% 
  86 Iteration12   -915   46   46   200   51%  -935    0% 
  87 Iteration14   -944  101  101    40   50%  -915    0% 
  88 Iteration15   -965  100  102    40   48%  -915    0% 
  89 Iteration11  -1016   74   74    80   50% -1015    0% 
  90 Iteration13  -1028  100  105    40   40%  -915    0% 
  91 Iteration9   -1115   62   61   120   58% -1197    0% 
  92 Iteration7   -1284   63   61   120   54% -1329    0% 
  93 Iteration10  -1291  101   84    40   33% -1115    0% 
  94 Iteration8   -1396  117   -9    40   40% -1284    0% 
  95 Iteration6   -1476  139  -87    80   53% -1500    0% 
  96 Iteration5   -1717  347 -327    80   41% -1635    0% 
  97 Iteration4   -1761  410 -371    40   58% -1794    0% 
  98 Iteration3   -1794  418 -405   120   53% -1830    0% 
  99 Iteration1   -2013  636 -624   120   52% -2037    0% 
 100 Iteration2   -2042  682 -652    40   50% -2013    0% 
 101 Iteration0   -2276  906 -887    40   18% -2013    0% 
